epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,25610.4,1.55388,2.09758,0.87329,0.91314,0,0.80122,0.58666,0.60208,0.43595,0.57134,0.48427,0.40997,0.26433,1.75192,2.17836,0.92907,0.87152,0,0.00020909,0.00020909,0.00020909
84,25902.9,1.56402,2.06523,0.86011,0.90355,0,0.79429,0.58556,0.6026,0.43309,0.56365,0.48898,0.4148,0.26554,1.75055,2.16926,0.92929,0.8758,0,0.000198091,0.000198091,0.000198091
85,26190.3,1.54687,2.07428,0.8611,0.90352,0,0.79762,0.58971,0.60433,0.43702,0.57634,0.48169,0.41053,0.26814,1.74358,2.15408,0.92749,0.87276,0,0.000187092,0.000187092,0.000187092
86,26499.4,1.58126,2.06865,0.86338,0.8996,0,0.7993,0.58792,0.60304,0.44033,0.57624,0.4844,0.41254,0.26874,1.73734,2.18339,0.92402,0.86808,0,0.000176094,0.000176094,0.000176094
87,26795.7,1.54208,2.08164,0.85629,0.90284,0,0.80837,0.58776,0.60385,0.43546,0.57994,0.48282,0.41357,0.26271,1.74413,2.19094,0.92187,0.87553,0,0.000165095,0.000165095,0.000165095
88,27094,1.54625,2.08822,0.8579,0.90785,0,0.81209,0.58371,0.6034,0.44305,0.58471,0.48306,0.41776,0.27193,1.73562,2.17802,0.91888,0.86567,0,0.000154096,0.000154096,0.000154096
89,27407.6,1.53715,2.04007,0.84315,0.89713,0,0.80191,0.58837,0.60324,0.44141,0.57274,0.47781,0.4087,0.26699,1.73247,2.17904,0.92367,0.87095,0,0.000143097,0.000143097,0.000143097
90,27749,1.54569,2.06179,0.85021,0.89537,0,0.81255,0.58657,0.60444,0.44364,0.57771,0.48053,0.41261,0.26954,1.72897,2.18824,0.91738,0.86616,0,0.000132098,0.000132098,0.000132098
91,27991.6,1.63968,2.11349,0.95525,0.91196,0,0.81146,0.58136,0.60078,0.44145,0.581,0.47857,0.41293,0.27177,1.7409,2.18912,0.93206,0.86456,0,0.000121099,0.000121099,0.000121099
92,28211.1,1.61055,2.05969,0.92705,0.90507,0,0.81431,0.58919,0.60363,0.44327,0.58119,0.47975,0.40642,0.26808,1.74137,2.18446,0.92352,0.86945,0,0.0001101,0.0001101,0.0001101
93,28437.2,1.61727,2.08118,0.91919,0.90118,0,0.81272,0.58892,0.60334,0.44566,0.58423,0.48439,0.41188,0.27327,1.73529,2.20081,0.92291,0.8633,0,9.91012e-05,9.91012e-05,9.91012e-05
94,28657.1,1.6101,2.04854,0.91293,0.89595,0,0.80888,0.58906,0.60271,0.44527,0.58824,0.48749,0.41515,0.27532,1.73024,2.17913,0.91828,0.85868,0,8.81023e-05,8.81023e-05,8.81023e-05
95,28873,1.61105,2.12376,0.92411,0.90562,0,0.8087,0.59207,0.60425,0.44721,0.58485,0.48632,0.41237,0.27243,1.73176,2.17883,0.92158,0.8611,0,7.71034e-05,7.71034e-05,7.71034e-05
96,29086.3,1.5792,2.05331,0.90278,0.89678,0,0.81136,0.59493,0.60655,0.45024,0.58476,0.48923,0.41447,0.27352,1.72382,2.1642,0.91155,0.85894,0,6.61045e-05,6.61045e-05,6.61045e-05
97,29318.9,1.60183,2.05906,0.92343,0.90187,0,0.81398,0.5907,0.60475,0.44629,0.58002,0.49029,0.41281,0.27373,1.72905,2.18688,0.91782,0.86221,0,5.51056e-05,5.51056e-05,5.51056e-05
98,29527.7,1.59537,2.02165,0.90803,0.89398,0,0.80696,0.59309,0.60458,0.44735,0.57856,0.49009,0.41234,0.27362,1.73078,2.20762,0.91687,0.86053,0,4.41067e-05,4.41067e-05,4.41067e-05
99,29733.7,1.57861,2.03787,0.89577,0.89482,0,0.81003,0.59235,0.60517,0.45014,0.58228,0.49157,0.41372,0.27605,1.71994,2.17903,0.91262,0.859,0,3.31078e-05,3.31078e-05,3.31078e-05
100,29945.2,1.57977,2.05306,0.90215,0.89478,0,0.80837,0.59323,0.60635,0.45126,0.58449,0.49084,0.41401,0.27615,1.72115,2.16087,0.90899,0.85911,0,2.21089e-05,2.21089e-05,2.21089e-05
